map,Team,Pistol Won,Eco (won),Semi-eco (won),Semi-buy (won),Full buy(won),match_id
Icebox,NAVI,1,4 (1),1 (0),1 (1),20 (10),482505
Icebox,KC,1,3 (1),2 (0),5 (3),16 (10),482505
Split,NAVI,1,3 (1),2 (0),4 (3),15 (9),482505
Split,KC,1,3 (1),2 (1),8 (4),11 (5),482505
All Maps,NAVI,2,2 (2),2 (0),5 (5),15 (6),482505
All Maps,KC,0,4 (0),1 (1),3 (2),16 (8),482505
Fracture,FUT,0,4 (0),0 (0),0 (0),15 (13),482506
Fracture,VIT,2,2 (2),1 (0),8 (3),8 (1),482506
Split,FUT,2,2 (2),0 (0),6 (3),12 (8),482506
Split,VIT,0,4 (0),2 (0),4 (1),10 (6),482506
All Maps,FUT,2,6 (2),0 (0),6 (3),27 (21),482506
All Maps,VIT,2,6 (2),3 (0),12 (4),18 (7),482506
Ascent,TH,1,5 (1),0 (0),6 (3),15 (10),482507
Ascent,BBL,1,3 (1),2 (1),4 (1),17 (9),482507
Icebox,TH,1,3 (1),1 (0),4 (3),15 (9),482507
Icebox,BBL,1,3 (1),1 (0),7 (5),12 (4),482507
All Maps,TH,2,8 (2),1 (0),10 (6),30 (19),482507
All Maps,BBL,2,6 (2),3 (1),11 (6),29 (13),482507
Split,TL,1,3 (2),1 (0),7 (4),12 (4),482508
Split,FNC,1,3 (1),1 (0),3 (1),16 (11),482508
Icebox,TL,1,3 (1),2 (0),3 (3),16 (9),482508
Icebox,FNC,1,3 (1),0 (0),6 (2),15 (8),482508
All Maps,TL,0,4 (0),0 (0),4 (2),18 (10),482508
All Maps,FNC,2,2 (2),0 (0),11 (6),13 (6),482508
Haven,BBL,1,3 (1),2 (0),3 (1),15 (11),482510
Haven,FUT,1,4 (1),0 (0),4 (2),15 (7),482510
Split,BBL,2,2 (2),0 (0),4 (3),9 (8),482510
Split,FUT,0,4 (0),2 (0),0 (0),9 (2),482510
All Maps,BBL,4,9 (4),2 (0),14 (7),39 (27),482510
All Maps,FUT,2,13 (4),5 (1),6 (3),40 (18),482510
Icebox,TL,1,2 (1),2 (0),7 (5),13 (5),482509
Icebox,NAVI,1,2 (1),1 (0),6 (4),15 (8),482509
Split,TL,2,2 (2),1 (1),4 (2),10 (8),482509
Split,NAVI,0,3 (0),1 (0),7 (1),6 (3),482509
All Maps,TL,2,2 (2),1 (0),6 (3),12 (8),482509
All Maps,NAVI,0,4 (1),2 (0),6 (2),9 (5),482509
Fracture,TH,0,4 (1),1 (1),4 (0),10 (4),482515
Fracture,FNC,2,2 (2),1 (0),6 (5),10 (6),482515
Icebox,TH,1,3 (2),2 (0),6 (3),10 (3),482515
Icebox,FNC,1,3 (1),1 (1),2 (1),15 (10),482515
that,TH,1,7 (3),3 (1),10 (3),20 (7),482515
that,FNC,3,5 (3),2 (1),8 (6),25 (16),482515
Haven,TL,2,2 (2),2 (1),7 (2),13 (8),482511
Haven,BBL,0,4 (0),2 (1),3 (1),15 (9),482511
Split,TL,0,4 (0),1 (0),6 (2),9 (5),482511
Split,BBL,2,3 (2),1 (0),4 (2),12 (9),482511
All Maps,TL,1,3 (1),1 (0),2 (2),15 (10),482511
All Maps,BBL,1,4 (1),2 (0),4 (2),11 (5),482511
Haven,TH,2,2 (2),1 (1),3 (2),10 (8),482512
Haven,TL,0,3 (0),2 (0),8 (1),3 (2),482512
Ascent,TH,1,3 (1),2 (1),2 (1),16 (10),482512
