player,player_name,team,player_id,agents,agents_count,rounds,rating,acs,kd_ratio,kast,adr,kpr,apr,fkpr,fdpr,hs_percent,cl_percent,clutches,k_max,kills,deaths,assists,first_kills,first_deaths
Boo,Boo,TH,1144,"['Astra', 'Viper', 'Omen']",3,81,0.76,139.5,0.7,62%,86.7,0.48,0.43,0.02,0.1,38%,6%,1/17,14,39,56,35,2,8
crazyguy,crazyguy,RRQ,1430,"['Kayo', 'Omen', 'Fade']",3,100,0.75,144.2,0.65,64%,90.7,0.47,0.34,0.11,0.14,25%,9%,2/22,11,47,72,34,11,14
MiniBoo,MiniBoo,TH,18350,"['Yoru', 'Neon', 'Raze']",3,81,0.74,167.5,0.81,60%,105.6,0.64,0.09,0.12,0.11,31%,0%,0/8,19,52,64,7,10,9
xenom,xenom,MIBR,20240,"['Omen', 'Viper']",2,71,0.71,148.3,0.65,63%,101.7,0.55,0.15,0.06,0.14,35%,0%,0/12,15,39,60,11,4,10
cortezia,cortezia,MIBR,5395,"['Cypher', 'Killjoy']",2,71,0.69,164.0,0.66,59%,115.2,0.55,0.17,0.1,0.14,33%,0%,0/10,12,39,59,12,7,10
Viva,Viva,XLG,36415,['Sova'],1,75,0.67,147.0,0.51,59%,107.6,0.44,0.28,0.05,0.03,27%,0%,0/16,11,33,65,21,4,2
coconut,coconut,XLG,12365,"['Omen', 'Viper']",2,75,0.65,128.3,0.57,65%,82.6,0.45,0.29,0.01,0.08,26%,23%,3/13,12,34,60,22,1,6
Midi,Midi,XLG,37017,"['Breach', 'Gekko']",2,75,0.59,132.0,0.58,61%,88.8,0.48,0.19,0.04,0.03,34%,0%,0/5,14,36,62,14,3,2
aspas,aspas,MIBR,8480,"['Neon', 'Jett', 'Raze']",3,71,0.53,129.8,0.53,59%,88.8,0.44,0.17,0.07,0.21,18%,20%,1/5,10,31,59,12,5,15
artzin,artzin,MIBR,5957,"['Breach', 'Harbor', 'Gekko']",3,71,0.51,121.5,0.52,66%,86.3,0.44,0.25,0.04,0.15,26%,0%,0/5,12,31,60,18,3,11
tarik,tarik,tarik,31376,['Reyna'],1,20,,,0.94,,,0.85,0.3,,,,0%,,17,17,18,6,0,0
Kyedae,Kyedae,tarik,37656,['Vyse'],1,20,,,1.0,,,0.75,0.4,,,,0%,,15,15,15,8,0,0
joshseki,joshseki,tarik,55810,['Astra'],1,20,,,0.63,,,0.5,0.35,,,,0%,,10,10,16,7,0,0
Vinnie,Vinnie,tarik,55809,['Sova'],1,20,,,0.87,,,0.65,0.2,,,,0%,,13,13,15,4,0,0
Yvonnie,Yvonnie,tarik,35089,['Sage'],1,20,,,0.4,,,0.3,0.35,,,,0%,,6,6,15,7,0,0
Disguised Toast,Disguised Toast,Team,55812,['Cypher'],1,20,,,1.0,,,0.6,0.25,,,,0%,,12,12,12,5,0,0
Jacob,Jacob,Team,55811,['Gekko'],1,20,,,0.46,,,0.3,0.25,,,,0%,,6,6,13,5,0,0
meL,meL,Team,3063,['Omen'],1,20,,,2.56,,,1.15,0.55,,,,0%,,23,23,9,11,0,0
Sidsity,Sidsity,Team,48629,['Fade'],1,20,,,1.25,,,0.75,0.2,,,,0%,,15,15,12,4,0,0
TenZ,TenZ,Team,9,['Jett'],1,20,,,1.71,,,1.2,0.2,,,,0%,,24,24,14,4,0,0
