map,Team,Pistol Won,Eco (won),Semi-eco (won),Semi-buy (won),Full buy(won),match_id
Abyss,PRX,2,2 (2),0 (0),4 (3),14 (8),365323
Lotus,DRX,1,3 (1),0 (0),8 (3),12 (6),365323
Lotus,PRX,1,2 (1),1 (0),6 (2),14 (10),365323
Bind,DRX,1,3 (1),0 (0),3 (1),17 (11),365323
Bind,PRX,1,3 (1),0 (0),7 (4),13 (5),365323
Icebox,DRX,2,2 (2),3 (1),4 (2),14 (8),365323
Icebox,PRX,0,4 (0),0 (0),8 (2),11 (8),365323
All Maps,DRX,2,2 (2),1 (1),5 (4),12 (6),365323
All Maps,PRX,0,2 (0),3 (0),6 (3),9 (4),365323
Haven,GEN,1,3 (1),1 (0),6 (2),9 (3),365321
Haven,DRX,1,4 (1),0 (0),1 (1),14 (11),365321
Bind,GEN,0,4 (1),0 (0),5 (3),25 (14),365321
Bind,DRX,2,2 (2),5 (2),7 (3),20 (9),365321
Lotus,GEN,2,2 (2),1 (0),10 (6),13 (6),365321
Lotus,DRX,0,4 (0),2 (1),2 (1),18 (10),365321
Icebox,GEN,1,3 (1),1 (1),3 (2),12 (9),365321
Icebox,DRX,1,3 (1),1 (0),4 (1),11 (4),365321
All Maps,GEN,4,12 (5),3 (1),24 (13),59 (32),365321
All Maps,DRX,4,13 (4),8 (3),14 (6),63 (34),365321
