map,Team,Pistol Won,Eco (won),Semi-eco (won),Semi-buy (won),Full buy(won),match_id
Corrode,C9,1,3 (1),1 (0),4 (3),15 (6),530906
Icebox,SEN,0,4 (0),1 (0),4 (2),13 (7),530906
Icebox,C9,2,2 (2),0 (0),7 (3),13 (8),530906
Lotus,SEN,1,3 (1),2 (1),6 (2),12 (9),530906
Lotus,C9,1,2 (1),0 (0),13 (6),8 (3),530906
Bind,SEN,2,10 (2),4 (1),14 (7),40 (25),530906
Bind,C9,4,7 (4),1 (0),24 (12),36 (17),530906
Corrode,NRG,1,3 (1),0 (0),6 (3),14 (9),530907
Corrode,G2,1,3 (1),2 (1),4 (1),14 (7),530907
Sunset,NRG,1,4 (1),1 (0),6 (3),13 (7),530907
Sunset,G2,1,3 (2),1 (1),7 (3),13 (7),530907
Ascent,NRG,2,2 (2),1 (0),12 (3),5 (2),530907
Ascent,G2,0,4 (0),2 (2),0 (0),14 (11),530907
Lotus,NRG,4,9 (4),2 (0),24 (9),32 (18),530907
Lotus,G2,2,10 (3),5 (4),11 (4),41 (25),530907
Lotus,LEV,2,2 (2),2 (1),6 (3),16 (8),530904
Lotus,KRÜ,0,4 (0),0 (0),3 (3),19 (9),530904
Sunset,LEV,1,3 (1),2 (0),5 (2),9 (3),530904
Sunset,KRÜ,1,3 (1),1 (1),2 (1),13 (10),530904
All Maps,LEV,1,3 (1),0 (0),5 (3),13 (9),530904
All Maps,KRÜ,1,3 (1),1 (1),6 (1),11 (5),530904
Bind,100T,2,2 (2),0 (0),4 (3),11 (8),530905
Bind,EG,0,4 (0),1 (1),3 (0),9 (3),530905
Corrode,100T,2,2 (2),3 (1),6 (3),15 (8),530905
Corrode,EG,0,4 (1),3 (2),0 (0),19 (9),530905
All Maps,100T,4,4 (4),3 (1),10 (6),26 (16),530905
All Maps,EG,0,8 (1),4 (3),3 (0),28 (12),530905
Ascent,NRG,1,3 (1),0 (0),1 (1),11 (11),530908
Ascent,LEV,1,2 (1),3 (0),6 (1),4 (0),530908
Icebox,NRG,2,2 (2),0 (0),3 (3),10 (8),530908
Icebox,LEV,0,3 (0),3 (0),5 (0),4 (2),530908
All Maps,NRG,3,5 (3),0 (0),4 (4),21 (19),530908
All Maps,LEV,1,5 (1),6 (0),11 (1),8 (2),530908
Haven,C9,1,3 (1),1 (0),5 (5),13 (7),530909
Haven,100T,1,3 (1),2 (2),5 (3),12 (3),530909
Icebox,C9,1,3 (1),2 (2),6 (2),15 (9),530909
Icebox,100T,1,3 (2),1 (1),7 (3),15 (6),530909
All Maps,C9,2,6 (2),3 (2),11 (7),28 (16),530909
