map,Team,Pistol Won,Eco (won),Semi-eco (won),Semi-buy (won),Full buy(won),match_id
Ascent,PRX,1,3 (1),2 (0),6 (2),7 (2),297258
Ascent,GEN,1,3 (1),0 (0),4 (4),11 (8),297258
Split,PRX,2,2 (2),1 (0),5 (4),9 (7),297258
Split,GEN,0,4 (0),3 (1),2 (1),8 (2),297258
Lotus,PRX,0,3 (0),3 (0),4 (2),14 (9),297258
Lotus,GEN,2,2 (2),1 (0),7 (4),14 (7),297258
Bind,PRX,0,4 (0),1 (0),4 (1),8 (3),297258
Bind,GEN,2,2 (2),0 (0),4 (4),11 (7),297258
All Maps,PRX,3,12 (3),7 (0),19 (9),38 (21),297258
All Maps,GEN,5,11 (5),4 (1),17 (13),44 (24),297258
