player,player_name,team,player_id,agents,agents_count,rounds,rating,acs,kd_ratio,kast,adr,kpr,apr,fkpr,fdpr,hs_percent,cl_percent,clutches,k_max,kills,deaths,assists,first_kills,first_deaths
oderus,oderus,APK,1851,"['Fade', 'Sova']",2,46,0.9,184.5,0.91,65%,132.5,0.67,0.28,0.0,0.13,38%,40%,2/5,23,31,34,13,0,6
RobbieBk,RobbieBk,M8,5893,"['Sova', 'Fade', 'Tejo']",3,192,0.9,154.3,0.77,71%,111.0,0.49,0.29,0.07,0.07,28%,4%,1/25,18,95,124,56,14,13
runneR,runneR,GX,21610,"['Vyse', 'Breach', 'Kayo', 'Gekko', 'Skye']",5,176,0.9,170.6,0.81,75%,110.4,0.57,0.4,0.06,0.07,24%,14%,3/21,20,100,123,70,10,12
AtaKaptan,AtaKaptan,FUT,6510,"['Astra', 'Brimstone', 'Viper', 'Omen']",4,179,0.89,170.8,0.79,68%,110.8,0.59,0.37,0.06,0.11,27%,30%,6/20,17,106,134,67,11,20
crashies,crashies,FNC,4,"['Sova', 'Breach']",2,215,0.89,155.3,0.91,74%,112.0,0.55,0.23,0.05,0.06,34%,14%,5/35,21,119,131,49,10,12
koalanoob,koalanoob,NAVI,3722,"['Jett', 'Raze', 'Sage', 'Yoru']",4,128,0.88,200.7,0.94,63%,133.8,0.72,0.17,0.16,0.17,23%,21%,3/14,24,92,98,22,21,22
hiro,hiro,NAVI,29867,"['Omen', 'Vyse', 'Killjoy', 'Cypher']",4,128,0.87,168.7,0.86,66%,120.5,0.62,0.29,0.06,0.08,29%,6%,1/17,20,79,92,37,8,10
Boo,Boo,TH,1144,"['Kayo', 'Astra', 'Omen']",3,189,0.86,156.3,0.76,71%,104.6,0.54,0.54,0.05,0.08,38%,0%,0/28,17,102,134,102,9,16
MOLSI,MOLSI,APK,1281,"['Kayo', 'Breach', 'Sova']",3,111,0.85,149.6,0.7,79%,100.9,0.5,0.46,0.02,0.07,27%,15%,3/20,17,55,79,51,2,8
sheydos,sheydos,MKOI,1428,"['Tejo', 'Sova']",2,117,0.84,154.3,0.75,66%,111.7,0.54,0.19,0.07,0.03,27%,16%,3/19,15,63,84,22,8,3
hype,hype,APK,129,"['Killjoy', 'Cypher']",2,111,0.83,172.6,0.79,64%,116.9,0.59,0.16,0.11,0.12,29%,0%,0/10,21,66,84,18,12,13
westside,westside,GX,34684,"['Viper', 'Killjoy']",2,176,0.83,164.4,0.78,67%,111.2,0.57,0.24,0.07,0.08,36%,5%,1/21,17,101,129,42,12,14
benjyfishy,benjyfishy,TH,29873,"['Cypher', 'Killjoy', 'Tejo']",3,189,0.82,161.6,0.8,69%,113.5,0.58,0.21,0.05,0.12,36%,19%,3/16,22,109,136,39,9,22
vakk,vakk,BBL,172,"['Cypher', 'Vyse', 'Sage', 'Astra']",4,244,0.78,150.5,0.77,67%,97.4,0.55,0.25,0.03,0.07,32%,16%,5/32,22,135,175,60,8,17
flyuh,flyuh,MKOI,3685,"['Killjoy', 'Kayo', 'Breach', 'Cypher']",4,117,0.77,168.7,0.77,68%,112.5,0.6,0.25,0.09,0.14,24%,7%,1/15,18,70,91,29,10,16
batujnax,batujnax,APK,18615,"['Sova', 'Yoru']",2,65,0.76,155.7,0.73,68%,103.0,0.58,0.26,0.09,0.18,19%,17%,1/6,27,38,52,17,6,12
ANGE1,ANGE1,NAVI,109,"['Kayo', 'Tejo', 'Sova', 'Fade']",4,128,0.68,148.0,0.63,63%,99.5,0.47,0.3,0.08,0.09,29%,30%,3/10,13,60,95,38,10,11
