agent_name,total_utilization,map_utilizations,Split,Abyss,Pearl,Lotus,Bind,Haven,Fracture,Icebox,Ascent,Corrode,Sunset,tournament_name
Neon,20.0,"{'Lotus': 28.0, 'Icebox': 0.0, 'Ascent': 4.0, 'Bind': 5.0, 'Sunset': 65.0, 'Haven': 44.0, 'Split': 8.0, 'Abyss': 0.0}",,,,,,,,,,,,Champions Tour 2024 Americas Stage 2_csvs
Skye,14.0,"{'Lotus': 0.0, 'Icebox': 0.0, 'Ascent': 0.0, 'Bind': 60.0, 'Sunset': 5.0, 'Haven': 6.0, 'Split': 75.0, 'Abyss': 0.0}",,,,,,,,,,,,Champions Tour 2024 Americas Stage 2_csvs
Brimstone,12.0,"{'Lotus': 0.0, 'Icebox': 0.0, 'Ascent': 0.0, 'Bind': 100.0, 'Sunset': 0.0, 'Haven': 0.0, 'Split': 0.0, 'Abyss': 0.0}",,,,,,,,,,,,Champions Tour 2024 Americas Stage 2_csvs
Harbor,9.0,"{'Lotus': 0.0, 'Icebox': 41.0, 'Ascent': 0.0, 'Bind': 0.0, 'Sunset': 0.0, 'Haven': 0.0, 'Split': 0.0, 'Abyss': 17.0}",,,,,,,,,,,,Champions Tour 2024 Americas Stage 2_csvs
Deadlock,5.0,"{'Lotus': 6.0, 'Icebox': 0.0, 'Ascent': 13.0, 'Bind': 10.0, 'Sunset': 0.0, 'Haven': 6.0, 'Split': 0.0, 'Abyss': 0.0}",,,,,,,,,,,,Champions Tour 2024 Americas Stage 2_csvs
Sage,4.0,"{'Lotus': 0.0, 'Icebox': 16.0, 'Ascent': 0.0, 'Bind': 10.0, 'Sunset': 0.0, 'Haven': 0.0, 'Split': 0.0, 'Abyss': 0.0}",,,,,,,,,,,,Champions Tour 2024 Americas Stage 2_csvs
Clove,4.0,"{'Lotus': 6.0, 'Icebox': 6.0, 'Ascent': 0.0, 'Bind': 0.0, 'Sunset': 5.0, 'Haven': 6.0, 'Split': 0.0, 'Abyss': 0.0}",,,,,,,,,,,,Champions Tour 2024 Americas Stage 2_csvs
Yoru,3.0,"{'Lotus': 0.0, 'Icebox': 0.0, 'Ascent': 4.0, 'Bind': 0.0, 'Sunset': 0.0, 'Haven': 11.0, 'Split': 8.0, 'Abyss': 17.0}",,,,,,,,,,,,Champions Tour 2024 Americas Stage 2_csvs
Reyna,2.0,"{'Lotus': 0.0, 'Icebox': 13.0, 'Ascent': 0.0, 'Bind': 0.0, 'Sunset': 0.0, 'Haven': 0.0, 'Split': 0.0, 'Abyss': 0.0}",,,,,,,,,,,,Champions Tour 2024 Americas Stage 2_csvs
Iso,2.0,"{'Lotus': 3.0, 'Icebox': 3.0, 'Ascent': 4.0, 'Bind': 0.0, 'Sunset': 0.0, 'Haven': 6.0, 'Split': 0.0, 'Abyss': 0.0}",,,,,,,,,,,,Champions Tour 2024 Americas Stage 2_csvs
