map,Team,Pistol Won,Eco (won),Semi-eco (won),Semi-buy (won),Full buy(won),match_id,tournament_name
All Maps,ZETA,4,5 (4),2 (2),12 (8),23 (12),508839,VCT 2025 Pacific Stage 2_csvs
Lotus,GEN,1,3 (1),0 (0),5 (1),14 (7),508840,VCT 2025 Pacific Stage 2_csvs
Lotus,NS,1,3 (1),1 (0),4 (1),14 (11),508840,VCT 2025 Pacific Stage 2_csvs
Ascent,GEN,1,3 (2),1 (1),4 (2),18 (7),508840,VCT 2025 Pacific Stage 2_csvs
Ascent,NS,1,4 (1),2 (0),3 (0),17 (13),508840,VCT 2025 Pacific Stage 2_csvs
All Maps,GEN,2,6 (3),1 (1),9 (3),32 (14),508840,VCT 2025 Pacific Stage 2_csvs
All Maps,NS,2,7 (2),3 (0),7 (1),31 (24),508840,VCT 2025 Pacific Stage 2_csvs
Bind,TLN,2,3 (2),2 (1),7 (3),12 (5),508841,VCT 2025 Pacific Stage 2_csvs
Bind,PRX,0,4 (1),0 (0),2 (2),18 (10),508841,VCT 2025 Pacific Stage 2_csvs
Icebox,TLN,1,3 (1),1 (0),8 (4),18 (9),508841,VCT 2025 Pacific Stage 2_csvs
Icebox,PRX,1,3 (1),3 (1),2 (1),22 (13),508841,VCT 2025 Pacific Stage 2_csvs
All Maps,TLN,3,6 (3),3 (1),15 (7),30 (14),508841,VCT 2025 Pacific Stage 2_csvs
All Maps,PRX,1,7 (2),3 (1),4 (3),40 (23),508841,VCT 2025 Pacific Stage 2_csvs
Lotus,DRX,1,3 (1),2 (0),3 (2),15 (10),508842,VCT 2025 Pacific Stage 2_csvs
Lotus,GE,1,3 (2),0 (0),7 (2),13 (6),508842,VCT 2025 Pacific Stage 2_csvs
Icebox,DRX,2,3 (2),1 (1),4 (3),15 (7),508842,VCT 2025 Pacific Stage 2_csvs
Icebox,GE,0,3 (0),1 (1),4 (1),15 (8),508842,VCT 2025 Pacific Stage 2_csvs
All Maps,DRX,3,6 (3),3 (1),7 (5),30 (17),508842,VCT 2025 Pacific Stage 2_csvs
All Maps,GE,1,6 (2),1 (1),11 (3),28 (14),508842,VCT 2025 Pacific Stage 2_csvs
Lotus,BME,1,4 (1),1 (0),2 (2),21 (12),508843,VCT 2025 Pacific Stage 2_csvs
Lotus,ZETA,1,3 (1),0 (0),6 (2),19 (10),508843,VCT 2025 Pacific Stage 2_csvs
Corrode,BME,2,2 (2),1 (0),8 (4),11 (3),508843,VCT 2025 Pacific Stage 2_csvs
Corrode,ZETA,0,4 (0),2 (0),0 (0),16 (13),508843,VCT 2025 Pacific Stage 2_csvs
All Maps,BME,1,2 (1),2 (0),7 (4),10 (3),508843,VCT 2025 Pacific Stage 2_csvs
All Maps,ZETA,1,4 (1),1 (1),2 (0),14 (11),508843,VCT 2025 Pacific Stage 2_csvs
Ascent,RRQ,1,3 (1),1 (0),4 (2),20 (10),508844,VCT 2025 Pacific Stage 2_csvs
Ascent,TS,1,3 (1),1 (0),8 (2),16 (12),508844,VCT 2025 Pacific Stage 2_csvs
Icebox,RRQ,1,3 (1),0 (0),3 (2),11 (10),508844,VCT 2025 Pacific Stage 2_csvs
Icebox,TS,1,2 (1),1 (0),9 (1),5 (2),508844,VCT 2025 Pacific Stage 2_csvs
All Maps,RRQ,2,2 (2),0 (0),3 (3),11 (8),508844,VCT 2025 Pacific Stage 2_csvs
All Maps,TS,0,4 (0),1 (0),6 (1),5 (2),508844,VCT 2025 Pacific Stage 2_csvs
Sunset,T1,1,3 (1),1 (0),2 (1),13 (11),508845,VCT 2025 Pacific Stage 2_csvs
Sunset,DFM,1,2 (1),3 (0),7 (2),7 (3),508845,VCT 2025 Pacific Stage 2_csvs
Haven,T1,0,4 (0),1 (0),1 (1),16 (12),508845,VCT 2025 Pacific Stage 2_csvs
Haven,DFM,2,2 (2),1 (0),10 (5),9 (2),508845,VCT 2025 Pacific Stage 2_csvs
All Maps,T1,1,7 (1),2 (0),3 (2),29 (23),508845,VCT 2025 Pacific Stage 2_csvs
All Maps,DFM,3,4 (3),4 (0),17 (7),16 (5),508845,VCT 2025 Pacific Stage 2_csvs
Lotus,TLN,1,3 (1),0 (0),2 (2),13 (10),530354,VCT 2025 Pacific Stage 2_csvs
Lotus,NS,1,3 (1),1 (0),5 (3),9 (1),530354,VCT 2025 Pacific Stage 2_csvs
Corrode,TLN,1,3 (1),2 (0),4 (2),21 (13),530354,VCT 2025 Pacific Stage 2_csvs
Corrode,NS,1,3 (1),2 (0),5 (4),20 (9),530354,VCT 2025 Pacific Stage 2_csvs
All Maps,TLN,2,6 (2),2 (0),6 (4),34 (23),530354,VCT 2025 Pacific Stage 2_csvs
All Maps,NS,2,6 (2),3 (0),10 (7),29 (10),530354,VCT 2025 Pacific Stage 2_csvs
Bind,RRQ,0,4 (1),1 (0),5 (1),12 (7),530355,VCT 2025 Pacific Stage 2_csvs
Bind,T1,2,2 (2),3 (0),3 (1),14 (10),530355,VCT 2025 Pacific Stage 2_csvs
Haven,RRQ,2,3 (2),0 (0),4 (3),13 (8),530355,VCT 2025 Pacific Stage 2_csvs
Haven,T1,0,4 (1),3 (0),0 (0),13 (6),530355,VCT 2025 Pacific Stage 2_csvs
All Maps,RRQ,0,4 (0),2 (1),1 (1),14 (6),530355,VCT 2025 Pacific Stage 2_csvs
All Maps,T1,2,2 (2),2 (0),4 (4),13 (7),530355,VCT 2025 Pacific Stage 2_csvs
Bind,DRX,0,4 (1),1 (1),3 (1),16 (10),530356,VCT 2025 Pacific Stage 2_csvs
Bind,TLN,2,3 (2),0 (0),7 (3),14 (6),530356,VCT 2025 Pacific Stage 2_csvs
Haven,DRX,1,3 (1),2 (0),5 (2),12 (6),530356,VCT 2025 Pacific Stage 2_csvs
Haven,TLN,1,3 (1),1 (0),3 (2),15 (10),530356,VCT 2025 Pacific Stage 2_csvs
All Maps,DRX,0,5 (1),1 (0),3 (0),13 (7),530356,VCT 2025 Pacific Stage 2_csvs
All Maps,TLN,2,3 (2),0 (0),3 (2),16 (10),530356,VCT 2025 Pacific Stage 2_csvs
Sunset,PRX,1,2 (1),2 (0),5 (1),12 (11),530357,VCT 2025 Pacific Stage 2_csvs
Sunset,T1,1,3 (1),0 (0),4 (2),14 (5),530357,VCT 2025 Pacific Stage 2_csvs
Bind,PRX,2,2 (2),0 (0),7 (6),10 (5),530357,VCT 2025 Pacific Stage 2_csvs
Bind,T1,0,4 (0),3 (2),1 (1),11 (3),530357,VCT 2025 Pacific Stage 2_csvs
All Maps,PRX,3,4 (3),2 (0),12 (7),22 (16),530357,VCT 2025 Pacific Stage 2_csvs
All Maps,T1,1,7 (1),3 (2),5 (3),25 (8),530357,VCT 2025 Pacific Stage 2_csvs
Lotus,NS,2,2 (2),0 (0),5 (4),12 (7),530358,VCT 2025 Pacific Stage 2_csvs
Lotus,DFM,0,4 (0),2 (1),4 (1),9 (4),530358,VCT 2025 Pacific Stage 2_csvs
Ascent,NS,1,3 (1),2 (0),3 (2),15 (10),530358,VCT 2025 Pacific Stage 2_csvs
Ascent,DFM,1,3 (1),1 (0),7 (4),12 (5),530358,VCT 2025 Pacific Stage 2_csvs
All Maps,NS,3,5 (3),2 (0),8 (6),27 (17),530358,VCT 2025 Pacific Stage 2_csvs
All Maps,DFM,1,7 (1),3 (1),11 (5),21 (9),530358,VCT 2025 Pacific Stage 2_csvs
Haven,RRQ,1,3 (1),1 (0),5 (2),14 (7),530359,VCT 2025 Pacific Stage 2_csvs
Haven,GEN,1,3 (1),0 (0),3 (3),17 (9),530359,VCT 2025 Pacific Stage 2_csvs
Sunset,RRQ,1,3 (1),0 (0),6 (3),15 (9),530359,VCT 2025 Pacific Stage 2_csvs
Sunset,GEN,1,3 (1),1 (0),7 (3),13 (7),530359,VCT 2025 Pacific Stage 2_csvs
All Maps,RRQ,1,3 (2),1 (0),3 (2),12 (9),530359,VCT 2025 Pacific Stage 2_csvs
All Maps,GEN,1,3 (1),4 (1),3 (1),9 (3),530359,VCT 2025 Pacific Stage 2_csvs
Lotus,T1,1,3 (1),1 (0),3 (2),15 (10),530360,VCT 2025 Pacific Stage 2_csvs
Lotus,NS,1,3 (1),2 (1),7 (3),10 (4),530360,VCT 2025 Pacific Stage 2_csvs
Ascent,T1,2,2 (2),3 (1),3 (2),11 (8),530360,VCT 2025 Pacific Stage 2_csvs
Ascent,NS,0,3 (0),2 (1),4 (2),10 (3),530360,VCT 2025 Pacific Stage 2_csvs
All Maps,T1,3,5 (3),4 (1),6 (4),26 (18),530360,VCT 2025 Pacific Stage 2_csvs
All Maps,NS,1,6 (1),4 (2),11 (5),20 (7),530360,VCT 2025 Pacific Stage 2_csvs
Icebox,DRX,0,4 (0),0 (0),6 (3),10 (4),530361,VCT 2025 Pacific Stage 2_csvs
Icebox,RRQ,2,2 (2),1 (1),5 (3),12 (7),530361,VCT 2025 Pacific Stage 2_csvs
Corrode,DRX,1,3 (1),1 (1),8 (3),10 (4),530361,VCT 2025 Pacific Stage 2_csvs
Corrode,RRQ,1,3 (2),0 (0),4 (3),15 (8),530361,VCT 2025 Pacific Stage 2_csvs
All Maps,DRX,1,7 (1),1 (1),14 (6),20 (8),530361,VCT 2025 Pacific Stage 2_csvs
All Maps,RRQ,3,5 (4),1 (1),9 (6),27 (15),530361,VCT 2025 Pacific Stage 2_csvs
Haven,TLN,2,2 (2),1 (0),12 (7),9 (2),530362,VCT 2025 Pacific Stage 2_csvs
Haven,PRX,0,4 (0),0 (0),3 (3),17 (10),530362,VCT 2025 Pacific Stage 2_csvs
Bind,TLN,1,3 (1),1 (0),7 (1),9 (5),530362,VCT 2025 Pacific Stage 2_csvs
Bind,PRX,1,3 (1),0 (0),4 (3),13 (9),530362,VCT 2025 Pacific Stage 2_csvs
Sunset,TLN,3,5 (3),2 (0),19 (8),18 (7),530362,VCT 2025 Pacific Stage 2_csvs
Sunset,PRX,1,7 (1),0 (0),7 (6),30 (19),530362,VCT 2025 Pacific Stage 2_csvs
Ascent,T1,1,3 (1),2 (0),2 (2),17 (10),530363,VCT 2025 Pacific Stage 2_csvs
Ascent,RRQ,1,3 (1),2 (1),7 (3),12 (6),530363,VCT 2025 Pacific Stage 2_csvs
Sunset,T1,1,3 (1),2 (1),4 (3),19 (8),530363,VCT 2025 Pacific Stage 2_csvs
Sunset,RRQ,1,3 (1),2 (0),4 (2),19 (12),530363,VCT 2025 Pacific Stage 2_csvs
All Maps,T1,2,2 (2),1 (0),6 (3),11 (2),530363,VCT 2025 Pacific Stage 2_csvs
All Maps,RRQ,0,4 (0),0 (0),1 (0),15 (13),530363,VCT 2025 Pacific Stage 2_csvs
All Maps,WOR,2,2 (2),3 (1),3 (2),13 (8),530514,VCT 2025 Pacific Stage 2_csvs
All Maps,GOA,0,4 (0),3 (0),1 (1),13 (7),530514,VCT 2025 Pacific Stage 2_csvs
Bind,TLN,2,2 (2),1 (0),4 (3),10 (8),530364,VCT 2025 Pacific Stage 2_csvs
Bind,RRQ,0,4 (0),0 (0),3 (1),10 (3),530364,VCT 2025 Pacific Stage 2_csvs
Haven,TLN,2,2 (2),1 (0),4 (2),13 (9),530364,VCT 2025 Pacific Stage 2_csvs
Haven,RRQ,0,4 (0),1 (0),5 (2),10 (5),530364,VCT 2025 Pacific Stage 2_csvs
Corrode,TLN,0,4 (0),1 (1),3 (1),15 (8),530364,VCT 2025 Pacific Stage 2_csvs
Corrode,RRQ,2,3 (2),1 (0),3 (2),16 (9),530364,VCT 2025 Pacific Stage 2_csvs
Icebox,TLN,1,3 (1),0 (0),9 (5),7 (0),530364,VCT 2025 Pacific Stage 2_csvs
Icebox,RRQ,1,3 (1),0 (0),1 (1),15 (11),530364,VCT 2025 Pacific Stage 2_csvs
All Maps,TLN,1,3 (1),1 (0),3 (3),19 (8),530364,VCT 2025 Pacific Stage 2_csvs
All Maps,RRQ,1,3 (1),1 (1),4 (2),18 (10),530364,VCT 2025 Pacific Stage 2_csvs
Bind,PRX,2,3 (2),0 (0),6 (2),11 (9),530365,VCT 2025 Pacific Stage 2_csvs
Bind,RRQ,0,3 (0),2 (0),4 (2),11 (5),530365,VCT 2025 Pacific Stage 2_csvs
Ascent,PRX,1,2 (1),3 (0),5 (1),9 (4),530365,VCT 2025 Pacific Stage 2_csvs
Ascent,RRQ,1,3 (1),1 (1),4 (3),11 (8),530365,VCT 2025 Pacific Stage 2_csvs
Lotus,PRX,2,2 (2),1 (0),4 (3),13 (8),530365,VCT 2025 Pacific Stage 2_csvs
Lotus,RRQ,0,5 (0),1 (0),3 (2),11 (5),530365,VCT 2025 Pacific Stage 2_csvs
Haven,PRX,2,2 (2),1 (0),7 (4),11 (7),530365,VCT 2025 Pacific Stage 2_csvs
Haven,RRQ,0,5 (0),1 (0),2 (0),13 (8),530365,VCT 2025 Pacific Stage 2_csvs
All Maps,PRX,7,9 (7),5 (0),22 (10),44 (28),530365,VCT 2025 Pacific Stage 2_csvs
All Maps,RRQ,1,16 (1),5 (1),13 (7),46 (26),530365,VCT 2025 Pacific Stage 2_csvs
Bind,PRX,1,4 (2),0 (0),3 (2),15 (9),542195,Valorant Champions 2025_csvs
Bind,XLG,1,3 (1),1 (0),8 (3),10 (5),542195,Valorant Champions 2025_csvs
Sunset,PRX,2,2 (2),1 (0),5 (4),10 (7),542195,Valorant Champions 2025_csvs
Sunset,XLG,0,4 (0),2 (0),3 (0),9 (5),542195,Valorant Champions 2025_csvs
All Maps,PRX,3,6 (4),1 (0),8 (6),25 (16),542195,Valorant Champions 2025_csvs
All Maps,XLG,1,7 (1),3 (0),11 (3),19 (10),542195,Valorant Champions 2025_csvs
Corrode,GX,1,3 (1),2 (0),4 (1),10 (4),542196,Valorant Champions 2025_csvs
Corrode,SEN,1,3 (1),0 (0),2 (2),14 (10),542196,Valorant Champions 2025_csvs
Sunset,GX,1,4 (2),0 (0),1 (0),12 (11),542196,Valorant Champions 2025_csvs
Sunset,SEN,1,3 (2),0 (0),11 (1),3 (1),542196,Valorant Champions 2025_csvs
All Maps,GX,1,3 (1),1 (0),4 (3),14 (9),542196,Valorant Champions 2025_csvs
All Maps,SEN,1,3 (1),1 (0),6 (3),12 (5),542196,Valorant Champions 2025_csvs
Abyss,NRG,0,4 (0),1 (0),7 (3),20 (14),542207,Valorant Champions 2025_csvs
Abyss,EDG,2,3 (2),1 (0),5 (2),23 (11),542207,Valorant Champions 2025_csvs
Corrode,NRG,1,3 (1),1 (0),5 (2),15 (10),542207,Valorant Champions 2025_csvs
Corrode,EDG,1,3 (1),1 (0),5 (2),15 (8),542207,Valorant Champions 2025_csvs
All Maps,NRG,1,7 (1),2 (0),12 (5),35 (24),542207,Valorant Champions 2025_csvs
All Maps,EDG,3,6 (3),2 (0),10 (4),38 (19),542207,Valorant Champions 2025_csvs
Abyss,TL,0,4 (0),1 (1),6 (0),10 (7),542205,Valorant Champions 2025_csvs
Abyss,DRX,2,2 (2),0 (0),4 (3),15 (8),542205,Valorant Champions 2025_csvs
Bind,TL,1,3 (2),1 (0),5 (2),14 (6),542205,Valorant Champions 2025_csvs
Bind,DRX,1,3 (1),2 (1),2 (1),16 (10),542205,Valorant Champions 2025_csvs
All Maps,TL,1,7 (2),2 (1),11 (2),24 (13),542205,Valorant Champions 2025_csvs
All Maps,DRX,3,5 (3),2 (1),6 (4),31 (18),542205,Valorant Champions 2025_csvs
Lotus,DRG,2,2 (2),2 (0),4 (2),21 (9),542212,Valorant Champions 2025_csvs
Lotus,T1,0,4 (0),1 (0),4 (1),20 (15),542212,Valorant Champions 2025_csvs
Sunset,DRG,0,4 (0),1 (1),4 (3),21 (10),542212,Valorant Champions 2025_csvs
Sunset,T1,2,3 (3),4 (1),4 (3),19 (9),542212,Valorant Champions 2025_csvs
All Maps,DRG,2,6 (2),3 (1),8 (5),42 (19),542212,Valorant Champions 2025_csvs
All Maps,T1,2,7 (3),5 (1),8 (4),39 (24),542212,Valorant Champions 2025_csvs
Corrode,G2,0,4 (1),3 (0),1 (0),15 (9),542211,Valorant Champions 2025_csvs
Corrode,TH,2,2 (2),2 (0),5 (2),14 (9),542211,Valorant Champions 2025_csvs
Lotus,G2,1,2 (1),2 (1),9 (3),10 (5),542211,Valorant Champions 2025_csvs
Lotus,TH,1,3 (1),1 (0),4 (3),15 (9),542211,Valorant Champions 2025_csvs
corrode,G2,1,6 (2),5 (1),10 (3),25 (14),542211,Valorant Champions 2025_csvs
corrode,TH,3,5 (3),3 (0),9 (5),29 (18),542211,Valorant Champions 2025_csvs
Haven,BLG,0,3 (0),1 (0),5 (0),6 (2),542200,Valorant Champions 2025_csvs
Haven,MIBR,2,2 (2),0 (0),5 (4),8 (7),542200,Valorant Champions 2025_csvs
Corrode,BLG,0,4 (1),0 (0),5 (3),13 (5),542200,Valorant Champions 2025_csvs
Corrode,MIBR,2,2 (2),1 (1),4 (3),15 (7),542200,Valorant Champions 2025_csvs
All Maps,BLG,0,7 (1),1 (0),10 (3),19 (7),542200,Valorant Champions 2025_csvs
All Maps,MIBR,4,4 (4),1 (1),9 (7),23 (14),542200,Valorant Champions 2025_csvs
Ascent,RRQ,0,4 (0),1 (0),0 (0),18 (10),542201,Valorant Champions 2025_csvs
Ascent,FNC,2,2 (2),1 (0),9 (5),11 (6),542201,Valorant Champions 2025_csvs
Abyss,RRQ,1,3 (1),3 (0),4 (2),10 (4),542201,Valorant Champions 2025_csvs
Abyss,FNC,1,3 (1),1 (0),6 (5),10 (7),542201,Valorant Champions 2025_csvs
All Maps,RRQ,1,7 (1),4 (0),4 (2),28 (14),542201,Valorant Champions 2025_csvs
All Maps,FNC,3,5 (3),2 (0),15 (10),21 (13),542201,Valorant Champions 2025_csvs
Ascent,PRX,2,3 (2),2 (0),6 (3),13 (6),542197,Valorant Champions 2025_csvs
Ascent,GX,0,4 (1),0 (0),2 (2),18 (10),542197,Valorant Champions 2025_csvs
Lotus,PRX,1,3 (1),0 (0),5 (2),15 (10),542197,Valorant Champions 2025_csvs
Lotus,GX,1,3 (1),3 (1),4 (2),13 (6),542197,Valorant Champions 2025_csvs
Corrode,PRX,2,2 (2),0 (0),3 (3),14 (8),542197,Valorant Champions 2025_csvs
Corrode,GX,0,3 (0),2 (1),7 (2),7 (3),542197,Valorant Champions 2025_csvs
ascent,PRX,5,8 (5),2 (0),14 (8),42 (24),542197,Valorant Champions 2025_csvs
ascent,GX,1,10 (2),5 (2),13 (6),38 (19),542197,Valorant Champions 2025_csvs
Haven,DRX,2,2 (2),0 (0),5 (5),10 (6),542208,Valorant Champions 2025_csvs
Haven,NRG,0,4 (0),1 (0),4 (0),8 (4),542208,Valorant Champions 2025_csvs
Corrode,DRX,1,3 (2),0 (0),5 (3),16 (6),542208,Valorant Champions 2025_csvs
Corrode,NRG,1,3 (1),1 (0),6 (3),14 (9),542208,Valorant Champions 2025_csvs
All Maps,DRX,1,3 (1),2 (0),4 (2),15 (8),542208,Valorant Champions 2025_csvs
All Maps,NRG,1,4 (1),0 (0),6 (3),14 (9),542208,Valorant Champions 2025_csvs
Lotus,TH,1,3 (2),1 (0),2 (1),17 (10),542213,Valorant Champions 2025_csvs
Lotus,T1,1,3 (1),3 (0),3 (1),14 (8),542213,Valorant Champions 2025_csvs
Sunset,TH,0,4 (0),0 (0),3 (1),17 (12),542213,Valorant Champions 2025_csvs
Sunset,T1,2,2 (2),1 (0),7 (3),14 (6),542213,Valorant Champions 2025_csvs
Ascent,TH,1,7 (2),1 (0),5 (2),34 (22),542213,Valorant Champions 2025_csvs
Ascent,T1,3,5 (3),4 (0),10 (4),28 (14),542213,Valorant Champions 2025_csvs
Bind,MIBR,1,3 (1),0 (0),2 (2),13 (10),542202,Valorant Champions 2025_csvs
Bind,FNC,1,3 (1),1 (0),7 (2),7 (2),542202,Valorant Champions 2025_csvs
Abyss,MIBR,1,4 (1),0 (0),5 (1),11 (5),542202,Valorant Champions 2025_csvs
Abyss,FNC,1,3 (1),2 (1),3 (2),12 (9),542202,Valorant Champions 2025_csvs
All Maps,MIBR,0,4 (0),1 (0),6 (3),12 (7),542202,Valorant Champions 2025_csvs
All Maps,FNC,2,2 (2),2 (1),5 (3),14 (7),542202,Valorant Champions 2025_csvs
Sunset,TL,0,3 (0),1 (0),6 (3),6 (0),542209,Valorant Champions 2025_csvs
Sunset,EDG,2,2 (2),1 (0),2 (2),11 (9),542209,Valorant Champions 2025_csvs
Abyss,TL,1,3 (1),0 (0),1 (1),15 (11),542209,Valorant Champions 2025_csvs
Abyss,EDG,1,3 (1),2 (0),6 (2),8 (3),542209,Valorant Champions 2025_csvs
All Maps,TL,0,4 (1),2 (0),2 (2),20 (12),542209,Valorant Champions 2025_csvs
All Maps,EDG,2,2 (2),1 (1),6 (1),19 (9),542209,Valorant Champions 2025_csvs
Abyss,XLG,0,4 (1),0 (0),4 (2),15 (7),542198,Valorant Champions 2025_csvs
Abyss,SEN,2,3 (2),0 (0),5 (3),15 (8),542198,Valorant Champions 2025_csvs
Lotus,XLG,0,4 (0),1 (0),3 (1),16 (12),542198,Valorant Champions 2025_csvs
Lotus,SEN,2,2 (2),1 (0),10 (4),11 (5),542198,Valorant Champions 2025_csvs
Bind,XLG,1,3 (1),1 (1),5 (3),12 (8),542198,Valorant Champions 2025_csvs
Bind,SEN,1,3 (1),2 (1),4 (1),12 (5),542198,Valorant Champions 2025_csvs
Corrode,XLG,1,11 (2),2 (1),12 (6),43 (27),542198,Valorant Champions 2025_csvs
Corrode,SEN,5,8 (5),3 (1),19 (8),38 (18),542198,Valorant Champions 2025_csvs
Sunset,BLG,2,2 (2),0 (0),9 (5),9 (6),542203,Valorant Champions 2025_csvs
Sunset,RRQ,0,4 (0),1 (0),1 (0),14 (7),542203,Valorant Champions 2025_csvs
Lotus,BLG,1,3 (1),1 (0),10 (3),7 (4),542203,Valorant Champions 2025_csvs
Lotus,RRQ,1,3 (1),2 (1),2 (1),14 (10),542203,Valorant Champions 2025_csvs
All Maps,BLG,1,3 (1),0 (0),10 (3),4 (0),542203,Valorant Champions 2025_csvs
All Maps,RRQ,1,3 (1),0 (0),2 (2),12 (10),542203,Valorant Champions 2025_csvs
Lotus,G2,1,3 (2),0 (0),4 (2),13 (9),542214,Valorant Champions 2025_csvs
Lotus,DRG,1,4 (1),1 (0),3 (0),12 (6),542214,Valorant Champions 2025_csvs
Abyss,G2,2,2 (2),1 (0),5 (2),12 (9),542214,Valorant Champions 2025_csvs
Abyss,DRG,0,4 (0),3 (0),3 (1),10 (6),542214,Valorant Champions 2025_csvs
All Maps,G2,3,5 (4),1 (0),9 (4),25 (18),542214,Valorant Champions 2025_csvs
All Maps,DRG,1,8 (1),4 (0),6 (1),22 (12),542214,Valorant Champions 2025_csvs
Corrode,DRX,1,3 (1),0 (0),6 (4),12 (8),542210,Valorant Champions 2025_csvs
Corrode,TL,1,3 (1),1 (0),7 (5),10 (2),542210,Valorant Champions 2025_csvs
Abyss,DRX,2,2 (2),2 (0),4 (2),12 (9),542210,Valorant Champions 2025_csvs
Abyss,TL,0,4 (0),0 (0),5 (1),11 (6),542210,Valorant Champions 2025_csvs
All Maps,DRX,3,5 (3),2 (0),10 (6),24 (17),542210,Valorant Champions 2025_csvs
All Maps,TL,1,7 (1),1 (0),12 (6),21 (8),542210,Valorant Champions 2025_csvs
Bind,GX,1,3 (1),3 (1),6 (3),14 (9),542199,Valorant Champions 2025_csvs
Bind,XLG,1,3 (1),0 (0),6 (5),17 (6),542199,Valorant Champions 2025_csvs
Ascent,GX,2,2 (2),1 (1),7 (3),13 (7),542199,Valorant Champions 2025_csvs
Ascent,XLG,0,4 (0),0 (0),6 (1),13 (9),542199,Valorant Champions 2025_csvs
All Maps,GX,3,5 (3),4 (2),13 (6),27 (16),542199,Valorant Champions 2025_csvs
All Maps,XLG,1,7 (1),0 (0),12 (6),30 (15),542199,Valorant Champions 2025_csvs
Lotus,T1,1,3 (1),0 (0),6 (2),13 (6),542215,Valorant Champions 2025_csvs
Lotus,G2,1,3 (1),0 (0),6 (4),13 (8),542215,Valorant Champions 2025_csvs
Corrode,T1,0,4 (0),4 (2),1 (0),12 (6),542215,Valorant Champions 2025_csvs
Corrode,G2,2,2 (2),0 (0),6 (3),13 (8),542215,Valorant Champions 2025_csvs
All Maps,T1,1,7 (1),4 (2),7 (2),25 (12),542215,Valorant Champions 2025_csvs
All Maps,G2,3,5 (3),0 (0),12 (7),26 (16),542215,Valorant Champions 2025_csvs
Corrode,MIBR,2,2 (2),0 (0),5 (4),11 (7),542204,Valorant Champions 2025_csvs
Corrode,RRQ,0,4 (0),1 (0),2 (1),11 (4),542204,Valorant Champions 2025_csvs
Abyss,MIBR,2,2 (2),0 (0),4 (4),12 (7),542204,Valorant Champions 2025_csvs
Abyss,RRQ,0,4 (0),1 (0),5 (2),8 (3),542204,Valorant Champions 2025_csvs
All Maps,MIBR,4,4 (4),0 (0),9 (8),23 (14),542204,Valorant Champions 2025_csvs
All Maps,RRQ,0,8 (0),2 (0),7 (3),19 (7),542204,Valorant Champions 2025_csvs
Lotus,PRX,0,4 (1),0 (0),4 (2),16 (10),542265,Valorant Champions 2025_csvs
Lotus,G2,2,2 (2),3 (1),4 (2),15 (6),542265,Valorant Champions 2025_csvs
Corrode,PRX,2,2 (2),1 (1),9 (6),16 (4),542265,Valorant Champions 2025_csvs
Corrode,G2,0,4 (1),1 (0),2 (2),21 (12),542265,Valorant Champions 2025_csvs
Ascent,PRX,2,2 (2),0 (0),9 (5),13 (6),542265,Valorant Champions 2025_csvs
Ascent,G2,0,4 (0),3 (0),0 (0),17 (11),542265,Valorant Champions 2025_csvs
Bind,PRX,4,8 (5),1 (1),22 (13),45 (20),542265,Valorant Champions 2025_csvs
Bind,G2,2,10 (3),7 (1),6 (4),53 (29),542265,Valorant Champions 2025_csvs
Haven,FNC,2,2 (2),2 (0),6 (2),14 (9),542264,Valorant Champions 2025_csvs
Haven,DRX,0,4 (1),3 (0),2 (0),15 (10),542264,Valorant Champions 2025_csvs
Ascent,FNC,2,2 (2),1 (0),8 (2),10 (4),542264,Valorant Champions 2025_csvs
Ascent,DRX,0,4 (0),1 (0),1 (1),15 (12),542264,Valorant Champions 2025_csvs
Abyss,FNC,1,3 (1),0 (0),2 (2),13 (10),542264,Valorant Champions 2025_csvs
Abyss,DRX,1,2 (1),2 (0),5 (1),9 (3),542264,Valorant Champions 2025_csvs
All Maps,FNC,5,7 (5),3 (0),16 (6),37 (23),542264,Valorant Champions 2025_csvs
All Maps,DRX,1,10 (2),6 (0),8 (2),39 (25),542264,Valorant Champions 2025_csvs
Corrode,TH,1,3 (1),2 (0),5 (5),16 (6),542266,Valorant Champions 2025_csvs
Corrode,MIBR,1,3 (1),1 (0),1 (1),21 (12),542266,Valorant Champions 2025_csvs
Sunset,TH,1,3 (1),1 (0),8 (4),7 (1),542266,Valorant Champions 2025_csvs
Sunset,MIBR,1,2 (1),1 (0),2 (2),14 (10),542266,Valorant Champions 2025_csvs
Haven,TH,2,6 (2),3 (0),13 (9),23 (7),542266,Valorant Champions 2025_csvs
Haven,MIBR,2,5 (2),2 (0),3 (3),35 (22),542266,Valorant Champions 2025_csvs
Haven,NRG,2,2 (2),0 (0),2 (2),10 (9),542267,Valorant Champions 2025_csvs
Haven,GX,0,3 (0),3 (0),2 (0),6 (1),542267,Valorant Champions 2025_csvs
Lotus,NRG,0,4 (1),0 (0),0 (0),15 (12),542267,Valorant Champions 2025_csvs
Lotus,GX,2,2 (2),3 (0),7 (2),7 (2),542267,Valorant Champions 2025_csvs
All Maps,NRG,2,6 (3),0 (0),2 (2),25 (21),542267,Valorant Champions 2025_csvs
All Maps,GX,2,5 (2),6 (0),9 (2),13 (3),542267,Valorant Champions 2025_csvs
