map,Team,Pistol Won,Eco (won),Semi-eco (won),Semi-buy (won),Full buy(won),match_id,tournament_name
All Maps,G2,3,6 (3),4 (1),9 (6),24 (16),459519,VCT 2025 Americas Stage 1_csvs
All Maps,FUR,1,7 (2),2 (0),11 (5),23 (10),459519,VCT 2025 Americas Stage 1_csvs
Split,MIBR,2,2 (2),0 (0),6 (3),12 (8),459520,VCT 2025 Americas Stage 1_csvs
Split,LEV,0,4 (0),2 (0),2 (0),12 (7),459520,VCT 2025 Americas Stage 1_csvs
Icebox,MIBR,2,2 (2),1 (0),5 (3),13 (8),459520,VCT 2025 Americas Stage 1_csvs
Icebox,LEV,0,4 (0),1 (0),3 (0),13 (8),459520,VCT 2025 Americas Stage 1_csvs
All Maps,MIBR,4,4 (4),1 (0),11 (6),25 (16),459520,VCT 2025 Americas Stage 1_csvs
All Maps,LEV,0,8 (0),3 (0),5 (0),25 (15),459520,VCT 2025 Americas Stage 1_csvs
Haven,2G,1,4 (1),1 (0),4 (1),15 (9),459521,VCT 2025 Americas Stage 1_csvs
Haven,EG,1,3 (2),2 (0),6 (3),13 (8),459521,VCT 2025 Americas Stage 1_csvs
Lotus,2G,0,4 (1),1 (0),4 (1),12 (6),459521,VCT 2025 Americas Stage 1_csvs
Lotus,EG,2,2 (2),2 (0),4 (3),13 (8),459521,VCT 2025 Americas Stage 1_csvs
All Maps,2G,1,8 (2),2 (0),8 (2),27 (15),459521,VCT 2025 Americas Stage 1_csvs
All Maps,EG,3,5 (4),4 (0),10 (6),26 (16),459521,VCT 2025 Americas Stage 1_csvs
Pearl,SEN,2,3 (2),0 (0),4 (2),11 (9),459522,VCT 2025 Americas Stage 1_csvs
Pearl,100T,0,4 (1),2 (0),3 (1),9 (3),459522,VCT 2025 Americas Stage 1_csvs
Haven,SEN,0,4 (0),1 (0),3 (1),14 (8),459522,VCT 2025 Americas Stage 1_csvs
Haven,100T,2,2 (2),0 (0),4 (3),16 (8),459522,VCT 2025 Americas Stage 1_csvs
All Maps,SEN,2,2 (2),0 (0),3 (3),9 (8),459522,VCT 2025 Americas Stage 1_csvs
All Maps,100T,0,3 (0),3 (0),3 (0),5 (1),459522,VCT 2025 Americas Stage 1_csvs
Lotus,NRG,0,4 (0),1 (0),3 (2),15 (8),459523,VCT 2025 Americas Stage 1_csvs
Lotus,FUR,2,2 (2),1 (0),10 (6),10 (5),459523,VCT 2025 Americas Stage 1_csvs
Pearl,NRG,2,2 (2),0 (0),4 (4),9 (7),459523,VCT 2025 Americas Stage 1_csvs
Pearl,FUR,0,3 (0),1 (0),9 (2),2 (0),459523,VCT 2025 Americas Stage 1_csvs
All Maps,NRG,1,3 (1),0 (0),3 (3),11 (9),459523,VCT 2025 Americas Stage 1_csvs
All Maps,FUR,1,3 (1),0 (0),12 (3),2 (0),459523,VCT 2025 Americas Stage 1_csvs
Lotus,SEN,1,3 (1),1 (1),4 (2),12 (3),459524,VCT 2025 Americas Stage 1_csvs
Lotus,KRÜ,1,3 (1),1 (0),2 (1),14 (11),459524,VCT 2025 Americas Stage 1_csvs
Icebox,SEN,0,4 (0),1 (0),3 (0),13 (8),459524,VCT 2025 Americas Stage 1_csvs
Icebox,KRÜ,2,2 (2),1 (0),6 (4),12 (7),459524,VCT 2025 Americas Stage 1_csvs
y,SEN,1,7 (1),2 (1),7 (2),25 (11),459524,VCT 2025 Americas Stage 1_csvs
y,KRÜ,3,5 (3),2 (0),8 (5),26 (18),459524,VCT 2025 Americas Stage 1_csvs
Fracture,100T,0,4 (1),2 (2),0 (0),17 (10),459525,VCT 2025 Americas Stage 1_csvs
Fracture,EG,2,2 (2),2 (1),10 (4),9 (3),459525,VCT 2025 Americas Stage 1_csvs
Haven,100T,2,2 (2),1 (0),6 (3),11 (8),459525,VCT 2025 Americas Stage 1_csvs
