match_id,map_name,map_order,score,winner,duration,picked_by,tournament_name
509822,Bind,1,6 - 13,VISA KRÜ(KRÜ Esports),51:53,LEVIATÁN,VCT 2025 Americas Stage 2_csvs
509822,Haven,2,13 - 10,LEVIATÁN,47:12,VISA KRÜ(KRÜ Esports),VCT 2025 Americas Stage 2_csvs
509822,Ascent,3,13 - 4,LEVIATÁN,38:35,Decider,VCT 2025 Americas Stage 2_csvs
509823,Corrode,1,2 - 13,G2 Esports,49:02,FURIA,VCT 2025 Americas Stage 2_csvs
509823,Ascent,2,5 - 13,G2 Esports,44:58,G2 Esports,VCT 2025 Americas Stage 2_csvs
509824,Sunset,1,13 - 2,LOUD,41:30,LOUD,VCT 2025 Americas Stage 2_csvs
509824,Bind,2,7 - 13,100 Thieves,47:13,100 Thieves,VCT 2025 Americas Stage 2_csvs
509824,Lotus,3,12 - 14,100 Thieves,1:01:52,Decider,VCT 2025 Americas Stage 2_csvs
509825,Sunset,1,13 - 6,VISA KRÜ(KRÜ Esports),1:01:21,VISA KRÜ(KRÜ Esports),VCT 2025 Americas Stage 2_csvs
509825,Lotus,2,7 - 13,NRG,45:11,NRG,VCT 2025 Americas Stage 2_csvs
509825,Haven,3,5 - 13,NRG,36:46,Decider,VCT 2025 Americas Stage 2_csvs
509826,Haven,1,13 - 10,100 Thieves,54:45,100 Thieves,VCT 2025 Americas Stage 2_csvs
509826,Sunset,2,10 - 13,LEVIATÁN,50:32,LEVIATÁN,VCT 2025 Americas Stage 2_csvs
509826,Lotus,3,2 - 13,LEVIATÁN,35:11,Decider,VCT 2025 Americas Stage 2_csvs
509827,Corrode,1,6 - 13,Evil Geniuses,52:56,Evil Geniuses,VCT 2025 Americas Stage 2_csvs
509827,Ascent,2,9 - 13,Evil Geniuses,52:13,FURIA,VCT 2025 Americas Stage 2_csvs
509829,Sunset,1,13 - 9,2Game Esports,54:40,2Game Esports,VCT 2025 Americas Stage 2_csvs
509829,Lotus,2,4 - 13,Sentinels,36:33,Sentinels,VCT 2025 Americas Stage 2_csvs
509829,Haven,3,4 - 13,Sentinels,33:10,Decider,VCT 2025 Americas Stage 2_csvs
509830,Ascent,1,13 - 8,G2 Esports,1:02:42,G2 Esports,VCT 2025 Americas Stage 2_csvs
509830,Lotus,2,13 - 9,G2 Esports,49:26,Cloud9,VCT 2025 Americas Stage 2_csvs
509831,Icebox,1,13 - 11,MIBR,58:00,MIBR,VCT 2025 Americas Stage 2_csvs
509831,Sunset,2,13 - 10,MIBR,56:01,LOUD,VCT 2025 Americas Stage 2_csvs
530902,Corrode,1,10 - 13,Cloud9,1:08:00,Cloud9,VCT 2025 Americas Stage 2_csvs
530902,Haven,2,13 - 10,LEVIATÁN,53:10,LEVIATÁN,VCT 2025 Americas Stage 2_csvs
530902,Lotus,3,11 - 13,Cloud9,1:00:40,Decider,VCT 2025 Americas Stage 2_csvs
530903,Sunset,1,13 - 4,G2 Esports,44:03,100 Thieves,VCT 2025 Americas Stage 2_csvs
530903,Haven,2,13 - 5,G2 Esports,38:36,G2 Esports,VCT 2025 Americas Stage 2_csvs
530906,Corrode,1,13 - 10,Sentinels,1:08:19,Sentinels,VCT 2025 Americas Stage 2_csvs
530906,Icebox,2,9 - 13,Cloud9,51:39,Cloud9,VCT 2025 Americas Stage 2_csvs
530906,Lotus,3,13 - 10,Sentinels,53:20,Decider,VCT 2025 Americas Stage 2_csvs
530907,Corrode,1,13 - 10,NRG,56:09,NRG,VCT 2025 Americas Stage 2_csvs
530907,Sunset,2,11 - 13,G2 Esports,52:44,G2 Esports,VCT 2025 Americas Stage 2_csvs
530907,Bind,3,7 - 13,G2 Esports,41:19,Decider,VCT 2025 Americas Stage 2_csvs
530904,Lotus,1,14 - 12,LEVIATÁN,1:03:39,LEVIATÁN,VCT 2025 Americas Stage 2_csvs
530904,Sunset,2,6 - 13,VISA KRÜ(KRÜ Esports),42:57,VISA KRÜ(KRÜ Esports),VCT 2025 Americas Stage 2_csvs
530904,Haven,3,13 - 8,LEVIATÁN,47:17,Decider,VCT 2025 Americas Stage 2_csvs
530905,Bind,1,13 - 4,100 Thieves,49:08,100 Thieves,VCT 2025 Americas Stage 2_csvs
530905,Corrode,2,14 - 12,100 Thieves,1:02:16,Evil Geniuses,VCT 2025 Americas Stage 2_csvs
530908,Ascent,1,13 - 2,NRG,46:31,LEVIATÁN,VCT 2025 Americas Stage 2_csvs
530908,Icebox,2,13 - 2,NRG,28:36,NRG,VCT 2025 Americas Stage 2_csvs
530909,Haven,1,13 - 9,Cloud9,56:18,100 Thieves,VCT 2025 Americas Stage 2_csvs
530909,Icebox,2,14 - 12,Cloud9,58:37,Cloud9,VCT 2025 Americas Stage 2_csvs
530910,Bind,1,8 - 13,G2 Esports,1:00:32,G2 Esports,VCT 2025 Americas Stage 2_csvs
530910,Sunset,2,9 - 13,G2 Esports,51:24,Sentinels,VCT 2025 Americas Stage 2_csvs
530911,Corrode,1,13 - 2,NRG,35:19,Cloud9,VCT 2025 Americas Stage 2_csvs
530911,Lotus,2,13 - 10,NRG,56:24,Decider,VCT 2025 Americas Stage 2_csvs
530911,Haven,3,10 - 13,Cloud9,58:24,NRG,VCT 2025 Americas Stage 2_csvs
