map,Team,Pistol Won,Eco (won),Semi-eco (won),Semi-buy (won),Full buy(won),match_id
Haven,TLN,2,2 (2),1 (0),12 (7),9 (2),530362
Haven,PRX,0,4 (0),0 (0),3 (3),17 (10),530362
Bind,TLN,1,3 (1),1 (0),7 (1),9 (5),530362
Bind,PRX,1,3 (1),0 (0),4 (3),13 (9),530362
Sunset,TLN,3,5 (3),2 (0),19 (8),18 (7),530362
Sunset,PRX,1,7 (1),0 (0),7 (6),30 (19),530362
Ascent,T1,1,3 (1),2 (0),2 (2),17 (10),530363
Ascent,RRQ,1,3 (1),2 (1),7 (3),12 (6),530363
Sunset,T1,1,3 (1),2 (1),4 (3),19 (8),530363
Sunset,RRQ,1,3 (1),2 (0),4 (2),19 (12),530363
All Maps,T1,2,2 (2),1 (0),6 (3),11 (2),530363
All Maps,RRQ,0,4 (0),0 (0),1 (0),15 (13),530363
All Maps,WOR,2,2 (2),3 (1),3 (2),13 (8),530514
All Maps,GOA,0,4 (0),3 (0),1 (1),13 (7),530514
Bind,TLN,2,2 (2),1 (0),4 (3),10 (8),530364
Bind,RRQ,0,4 (0),0 (0),3 (1),10 (3),530364
Haven,TLN,2,2 (2),1 (0),4 (2),13 (9),530364
Haven,RRQ,0,4 (0),1 (0),5 (2),10 (5),530364
Corrode,TLN,0,4 (0),1 (1),3 (1),15 (8),530364
Corrode,RRQ,2,3 (2),1 (0),3 (2),16 (9),530364
Icebox,TLN,1,3 (1),0 (0),9 (5),7 (0),530364
Icebox,RRQ,1,3 (1),0 (0),1 (1),15 (11),530364
All Maps,TLN,1,3 (1),1 (0),3 (3),19 (8),530364
All Maps,RRQ,1,3 (1),1 (1),4 (2),18 (10),530364
Bind,PRX,2,3 (2),0 (0),6 (2),11 (9),530365
Bind,RRQ,0,3 (0),2 (0),4 (2),11 (5),530365
Ascent,PRX,1,2 (1),3 (0),5 (1),9 (4),530365
Ascent,RRQ,1,3 (1),1 (1),4 (3),11 (8),530365
Lotus,PRX,2,2 (2),1 (0),4 (3),13 (8),530365
Lotus,RRQ,0,5 (0),1 (0),3 (2),11 (5),530365
Haven,PRX,2,2 (2),1 (0),7 (4),11 (7),530365
Haven,RRQ,0,5 (0),1 (0),2 (0),13 (8),530365
All Maps,PRX,7,9 (7),5 (0),22 (10),44 (28),530365
All Maps,RRQ,1,16 (1),5 (1),13 (7),46 (26),530365
