map,Team,Pistol Won,Eco (won),Semi-eco (won),Semi-buy (won),Full buy(won),match_id
Bind,NRG,1,3 (1),2 (0),6 (2),9 (4),314651
Bind,100T,1,3 (1),0 (0),4 (3),13 (9),314651
All Maps,NRG,1,7 (2),4 (1),8 (3),22 (9),314651
All Maps,100T,3,5 (3),1 (0),8 (5),27 (18),314651
Ascent,KRÜ,1,3 (1),2 (0),6 (3),6 (0),314652
Ascent,LEV,1,3 (1),0 (0),1 (1),13 (11),314652
Breeze,KRÜ,0,4 (1),1 (1),1 (1),20 (11),314652
Breeze,LEV,2,2 (2),1 (0),9 (4),14 (6),314652
All Maps,KRÜ,2,3 (2),0 (0),6 (2),14 (6),314652
All Maps,LEV,0,4 (1),2 (1),2 (0),15 (11),314652
Icebox,C9,1,3 (1),0 (0),6 (3),17 (10),314653
Icebox,MIBR,1,3 (1),1 (0),10 (5),12 (6),314653
Sunset,C9,2,2 (2),0 (0),6 (3),14 (8),314653
Sunset,MIBR,0,4 (0),1 (0),8 (4),9 (5),314653
All Maps,C9,3,5 (3),0 (0),12 (6),31 (18),314653
All Maps,MIBR,1,7 (1),2 (0),18 (9),21 (11),314653
Bind,G2,2,2 (2),1 (0),4 (2),17 (7),314654
Bind,LOUD,0,4 (0),0 (0),3 (2),17 (11),314654
Icebox,G2,0,4 (0),1 (0),3 (1),9 (3),314654
Icebox,LOUD,2,2 (2),0 (0),5 (4),10 (7),314654
All Maps,G2,2,6 (2),2 (0),7 (3),26 (10),314654
All Maps,LOUD,2,6 (2),0 (0),8 (6),27 (18),314654
Lotus,C9,1,2 (1),1 (0),8 (2),8 (3),337407
Lotus,G2,1,3 (1),0 (0),3 (2),13 (10),337407
Ascent,C9,1,4 (1),0 (0),7 (3),17 (9),337407
Ascent,G2,1,3 (1),0 (0),5 (3),20 (11),337407
All Maps,C9,2,6 (2),1 (0),15 (5),25 (12),337407
All Maps,G2,2,6 (2),0 (0),8 (5),33 (21),337407
Bind,100T,0,4 (0),0 (0),1 (1),14 (12),337408
Bind,LOUD,2,2 (2),1 (0),12 (4),4 (0),337408
Icebox,100T,1,3 (1),0 (0),1 (1),13 (11),337408
Icebox,LOUD,1,3 (1),0 (0),9 (3),5 (0),337408
All Maps,100T,1,7 (1),0 (0),2 (2),27 (23),337408
All Maps,LOUD,3,5 (3),1 (0),21 (7),9 (0),337408
Icebox,KRÜ,0,4 (0),0 (0),6 (2),8 (3),337409
Icebox,G2,2,2 (2),0 (0),4 (3),12 (8),337409
Ascent,KRÜ,2,2 (2),2 (0),8 (2),9 (4),337409
Ascent,G2,0,4 (0),0 (0),3 (3),14 (10),337409
All Maps,KRÜ,2,6 (2),2 (0),14 (4),17 (7),337409
All Maps,G2,2,6 (2),0 (0),7 (6),26 (18),337409
Bind,LEV,0,3 (0),3 (0),3 (0),7 (3),337410
Bind,100T,2,2 (2),0 (0),2 (2),12 (9),337410
Sunset,LEV,1,3 (1),0 (0),7 (3),16 (10),337410
Sunset,100T,1,4 (1),0 (0),8 (3),14 (8),337410
All Maps,LEV,2,3 (2),1 (0),9 (5),10 (3),337410
All Maps,100T,0,4 (1),0 (0),3 (2),16 (10),337410
Ascent,G2,0,4 (0),1 (0),2 (0),11 (5),337411
Ascent,100T,2,2 (2),1 (0),2 (2),13 (9),337411
Bind,G2,0,4 (0),2 (1),2 (1),13 (11),337411
Bind,100T,2,2 (2),1 (0),7 (2),11 (4),337411
All Maps,G2,2,2 (2),1 (0),8 (3),13 (6),337411
All Maps,100T,0,4 (0),0 (0),4 (2),16 (11),337411
Lotus,KRÜ,1,3 (1),0 (0),1 (1),15 (11),337413
Lotus,LEV,1,3 (1),3 (0),6 (4),7 (1),337413
Icebox,KRÜ,2,2 (2),1 (0),13 (6),8 (3),337413
Icebox,LEV,0,4 (0),0 (0),4 (3),16 (10),337413
All Maps,KRÜ,0,4 (0),3 (1),1 (0),13 (7),337413
All Maps,LEV,2,2 (2),0 (0),8 (4),11 (7),337413
Bind,G2,2,2 (2),2 (0),4 (2),18 (8),337414
Bind,LEV,0,4 (0),3 (2),2 (2),17 (10),337414
Breeze,G2,2,3 (2),1 (0),5 (4),11 (7),337414
Breeze,LEV,0,5 (1),1 (0),5 (2),9 (4),337414
Icebox,G2,2,2 (2),1 (0),11 (5),12 (5),337414
Icebox,LEV,0,4 (0),1 (0),7 (5),14 (9),337414
Lotus,G2,1,3 (1),2 (0),8 (6),10 (6),337414
Lotus,LEV,1,3 (1),2 (1),4 (3),14 (5),337414
All Maps,G2,2,2 (2),2 (0),8 (3),12 (8),337414
All Maps,LEV,0,4 (1),2 (1),5 (1),13 (8),337414
Bind,100T,2,2 (2),2 (0),6 (3),12 (8),337412
Bind,G2,0,4 (0),1 (0),2 (0),15 (9),337412
Breeze,100T,1,3 (1),1 (0),3 (2),13 (10),337412
Breeze,G2,1,3 (1),1 (0),7 (4),9 (2),337412
Sunset,100T,1,3 (2),1 (1),3 (2),14 (8),337412
Sunset,G2,1,3 (1),1 (0),7 (2),10 (5),337412
Ascent,100T,4,8 (5),4 (1),12 (7),39 (26),337412
Ascent,G2,2,10 (2),3 (0),16 (6),34 (16),337412
