player,player_name,team,player_id,agents,agents_count,rounds,rating,acs,kd_ratio,kast,adr,kpr,apr,fkpr,fdpr,hs_percent,cl_percent,clutches,k_max,kills,deaths,assists,first_kills,first_deaths
MiniBoo,MiniBoo,TH,18350,"['Omen', 'Yoru', 'Neon', 'Raze']",4,334,1.0,223.9,1.06,71%,145.6,0.8,0.19,0.2,0.15,31%,17%,4/23,27,266,251,63,66,51
alexiiik,alexiiik,NAVI,25906,"['Jett', 'Neon', 'Raze']",3,472,1.0,210.5,1.08,68%,136.7,0.77,0.14,0.16,0.17,26%,11%,3/27,25,362,334,66,75,78
ComeBack,ComeBack,M8,40591,"['Waylay', 'Neon', 'Jett']",3,306,1.0,219.6,1.06,68%,140.2,0.78,0.17,0.16,0.17,33%,11%,3/27,29,239,225,53,48,53
MAGNUM,MAGNUM,BBL,2173,"['Killjoy', 'Cypher', 'Viper', 'Deadlock', 'Fade', 'Vyse']",6,519,1.0,197.5,1.01,69%,127.1,0.69,0.27,0.07,0.12,30%,17%,8/48,21,359,357,139,35,60
Shao,Shao,NAVI,384,"['Sage', 'Sova', 'Fade', 'Omen']",4,472,1.0,181.2,0.97,75%,118.4,0.62,0.32,0.08,0.06,32%,23%,15/66,22,294,302,149,36,28
Flickless,Flickless,GX,6959,"['Breach', 'Viper', 'Kayo']",3,625,1.0,192.2,0.93,74%,124.7,0.65,0.46,0.08,0.08,25%,14%,9/63,26,408,437,288,47,51
baddyG,baddyG,MKOI,2190,"['Brimstone', 'Omen', 'Viper']",3,287,0.99,192.0,0.95,72%,122.0,0.71,0.35,0.09,0.07,24%,17%,6/36,30,203,213,100,26,19
benjyfishy,benjyfishy,TH,29873,"['Killjoy', 'Cypher', 'Vyse', 'Viper']",4,334,0.99,199.1,1.02,68%,127.7,0.71,0.25,0.08,0.08,37%,11%,5/46,24,237,232,83,28,26
penny,penny,APK,7716,"['Jett', 'Neon', 'Yoru', 'Raze']",4,290,0.99,200.9,1.02,68%,133.6,0.73,0.18,0.16,0.19,21%,17%,4/23,24,211,207,53,47,55
Elite,Elite,KC,16459,"['Vyse', 'Cypher', 'Killjoy']",3,236,0.99,189.5,1.0,70%,127.5,0.68,0.18,0.08,0.07,41%,11%,3/28,22,160,160,43,20,17
kamo,kamo,TL,14681,"['Raze', 'Jett', 'Yoru']",3,494,0.98,211.5,1.03,72%,137.6,0.73,0.23,0.17,0.17,26%,18%,4/22,24,360,351,114,82,83
LewN,LewN,BBL,20144,"['Jett', 'Neon', 'Raze', 'Phoenix', 'Yoru', 'Iso']",6,519,0.98,215.0,1.03,65%,141.1,0.77,0.14,0.16,0.17,30%,17%,7/41,26,399,386,75,83,88
MONSTEERR,MONSTEERR,MKOI,3127,"['Viper', 'Killjoy', 'Cypher', 'Vyse']",4,287,0.98,196.4,0.98,68%,132.4,0.71,0.17,0.08,0.08,28%,15%,8/53,23,205,210,50,22,22
Veqaj,Veqaj,M8,12928,"['Fade', 'Sova']",2,306,0.98,195.6,0.95,72%,136.2,0.7,0.31,0.07,0.1,27%,10%,4/42,28,213,224,94,20,30
Jamppi,Jamppi,BBL,9780,"['Sova', 'Breach', 'Fade', 'Gekko', 'Kayo']",5,519,0.98,186.4,0.95,72%,122.0,0.64,0.3,0.07,0.08,27%,18%,10/57,24,332,351,156,35,43
kamyk,kamyk,M8,1475,"['Gekko', 'Breach', 'Viper', 'Kayo']",4,306,0.98,193.6,0.98,75%,123.1,0.7,0.38,0.08,0.08,34%,9%,4/46,24,214,219,117,25,26
qRaxs,qRaxs,FUT,1139,"['Kayo', 'Fade', 'Breach']",3,247,0.95,181.6,0.81,72%,114.7,0.62,0.53,0.04,0.06,36%,17%,5/29,21,152,187,132,10,14
Cloud,Cloud,GX,4181,"['Sova', 'Gekko', 'Fade']",3,625,0.94,180.8,0.91,70%,123.8,0.63,0.27,0.08,0.08,30%,9%,6/68,21,395,433,170,47,48
sociablEE,sociablEE,BBL,5568,"['Omen', 'Sova', 'Deadlock', 'Chamber', 'Tejo', 'Yoru']",6,519,0.93,197.9,0.95,67%,130.5,0.71,0.2,0.12,0.09,31%,15%,13/85,36,370,391,103,61,45
MOLSI,MOLSI,APK,1281,"['Sova', 'Kayo', 'Fade', 'Gekko', 'Raze']",5,290,0.93,187.4,0.82,70%,127.9,0.61,0.37,0.06,0.06,27%,4%,2/45,19,177,215,106,17,16
